Dataset,Model,Accuracy,Precision,Recall,F1-Score,ROC-AUC,Training (s)
CICIDS_2017,RandomForest,99.5,98.18,99.11,98.64,99.93,1.0
CICIDS_2017,XGBoost,99.58,97.98,99.78,98.87,99.98,0.48
CICIDS_2017,NeuralNetwork,97.29,87.79,99.17,93.13,99.85,19.41
Network_10Class,RandomForest,98.94,98.98,98.94,98.95,99.98,3.73
Network_10Class,XGBoost,98.91,98.92,98.91,98.91,99.99,7.86
Network_10Class,NeuralNetwork,97.02,97.06,97.02,97.01,99.9,244.73
ZeroDay_V1V2,RandomForest,100.0,100.0,100.0,100.0,100.0,5.71
ZeroDay_V1V2,XGBoost,100.0,100.0,100.0,100.0,100.0,0.54
ZeroDay_V1V2,NeuralNetwork,100.0,100.0,100.0,100.0,100.0,45.81
Ransomware,RandomForest,97.73,97.74,97.73,97.72,99.68,1.26
Ransomware,XGBoost,97.39,97.4,97.39,97.39,99.76,1.09
Ransomware,NeuralNetwork,96.87,96.89,96.87,96.86,99.71,119.66
